Species,Family,Specimen Number,Flight,Aquatic.feeding,Fossil,Diet,CC.AspectRatio.log,Caudal.cranium.dis1,PostRostral.Cranium.length,PostRostral.Cranium.Dis,Skull.AspectRatio,Skull.AspectRatio.log,Skull.AspectRatio.dis,CC.Height.log,CC.Height.log.dis,CC.Width.log,CC.Width.log.dis,Centroid.size.dis,Body.Mass.log,Body.Mass.dis,Endosurface log,Endosurface.log.dis,Data.names,HigherTaxonomy
Acryllium_vulturinum,Numididae,SAM B23933,TRUE,No,FALSE,Terrestrial Omnivore,0.91560219,>0.81 but <1.03,1.599664779,>1.55 but <1.64,1.814781022,0.258824229,>0.0 but <0.265,1.302547372,>1.24 but <1.36,1.34084055,>1.26 but <1.37,>1.292 but <1.35,3.1239,>2.5 but <3.2,3.212674913,>3.12 but <3.24,Acryllium_vulturinum,Galliformes
Alectura_lathami,Megapodiidae,SAM B46568,TRUE,No,FALSE,Terrestrial Omnivore,0.731823164,>0.71 but <0.81,1.653791187,>1.64 but <1.70,1.646328096,0.21651639,>0.0 but <0.265,1.301680949,>1.24 but <1.36,1.437274797,>1.37 but <1.46,>1.35 but <1.52,3.3692,>3.2 but <4.0,3.297985804,>3.24 but <3.35,Alectura_lathami,Galliformes
Anas_supercilliosa,Anatidae,SAM B38172,TRUE,Yes,FALSE,Aquatic Dabbler,1.289402905,>1.2 but <1.3,1.725094521,>1.70 but <1.90,2.856374395,0.455815131,>0.44,1.379668034,>1.36 but <1.45,1.26927939,>1.26 but <1.37,>1.24 but <1.292,2.959,>2.5 but <3.2,3.320316646,>3.24 but <3.35,Anas_supercilliosa,Anseriformes
Anhima_cornuta,Anhimidae,NMV B12574,TRUE,Partial,FALSE,Terrestrial Grazer,0.833903577,>0.81 but <1.03,1.683767261,>1.64 but <1.70,1.877138414,0.273496297,>0.265 but <0.34,1.331386801,>1.24 but <1.36,1.410270964,>1.37 but <1.46,>1.35 but <1.52,3.4983,>3.2 but <4.0,3.381044649,>3.35 but <3.50,Anhima_cornuta,Anseriformes
Anser_caerulescens,Anatidae,SAM B36868,TRUE,Partial,FALSE,Terrestrial Grazer,1.142573529,>1.11 but <1.2,1.783331763,>1.70 but <1.90,2.232352941,0.348762859,>0.34 but <0.44,1.492453062,>1.45 but <1.8,1.434568904,>1.37 but <1.46,>1.35 but <1.52,3.42,>3.2 but <4.0,3.54979874,>3.50 but <3.80,Anser_caerulescens,Anseriformes
Anseranas_semipalmata,Anseranatidae,SAM B48035,TRUE,Partial,FALSE,Terrestrial Grazer,1.090289742,>1.03 but <1.11,1.790496277,>1.70 but <1.90,2.416992952,0.383275384,>0.34 but <0.44,1.444762819,>1.36 but <1.45,1.407220893,>1.37 but <1.46,>1.35 but <1.52,3.3835,>3.2 but <4.0,3.475019985,>3.35 but <3.50,Anseranas_semipalmata,Anseriformes
Aythya_australis ,Anatidae,SAM B33108,TRUE,Yes,FALSE,Aquatic Diver,1.08337469,>1.03 but <1.11,1.707740454,>1.70 but <1.90,2.532009926,0.403465404,>0.34 but <0.44,1.339053736,>1.24 but <1.36,1.30427505,>1.26 but <1.37,>1.24 but <1.292,2.9395,>2.5 but <3.2,3.254091066,>3.24 but <3.35,Aythya_australis,Anseriformes
Barawertornis_tedfordi,Dromornithidae,QM F58013,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,>1.35 but <1.52,4.6628,>4.0 but <5.0,NA,NA,Barawertornis_tedfordi,Dromornithidae
Bizura_lobata,Anatidae,SAM B11405,TRUE,Yes,FALSE,Aquatic Diver,0.87283426,>0.81 but <1.03,1.793860201,>1.70 but <1.90,2.033671134,0.308280724,>0.265 but <0.34,1.426511261,>1.36 but <1.45,1.485579477,>1.46 but>1.90,>1.35 but <1.52,3.2955,>3.2 but <4.0,3.461614063,>3.35 but <3.50,Bizura_lobata,Anseriformes
Branta_canadensis,Anatidae,SAM B31086,TRUE,Partial,FALSE,Terrestrial Grazer,1.152724748,>1.11 but <1.2,1.837651558,>1.70 but <1.90,2.388406803,0.3781083,>0.34 but <0.44,1.521268876,>1.45 but <1.8,1.459543258,>1.37 but <1.46,>1.35 but <1.52,3.5714,>3.2 but <4.0,3.555643321,>3.50 but <3.80,Branta_canadensis,Anseriformes
